col1	col2	col3	eda	hr	temp
-60.0	19.0	19.0	0.15245999999999998	88.45	35.39
-60.0	20.0	18.0	0.15374100000000002	88.45	35.34
-60.0	19.0	18.0	0.15374100000000002	88.43	35.39
-60.0	20.0	18.0	0.15374100000000002	88.42	35.37
-60.0	19.0	18.0	0.15374100000000002	88.4	35.37
-60.0	19.0	18.0	0.15374100000000002	88.38	35.34
-60.0	19.0	18.0	0.15374100000000002	88.37	35.39
-60.0	19.0	18.0	0.15374100000000002	88.35	35.39
-60.0	19.0	18.0	0.15374100000000002	88.33	35.41
-60.0	19.0	18.0	0.155022	88.32	35.37
-60.0	19.0	18.0	0.155022	88.3	35.37
-60.0	20.0	18.0	0.155022	88.28	35.37
-60.0	19.0	18.0	0.15374100000000002	88.28	35.39
-60.0	19.0	18.0	0.155022	88.28	35.39
-60.0	20.0	18.0	0.155022	88.28	35.37
-60.0	19.0	18.0	0.15374100000000002	88.28	35.41
-60.0	19.0	18.0	0.156304	88.3	35.41
-60.0	19.0	17.0	0.155022	88.32	35.39
-60.0	20.0	18.0	0.155022	88.32	35.41
-60.0	20.0	18.0	0.155022	88.3	35.41
-60.0	19.0	17.0	0.156304	88.28	35.37
-60.0	19.0	18.0	0.155022	88.27	35.39
-60.0	20.0	18.0	0.156304	88.25	35.41
-60.0	19.0	18.0	0.157585	88.22	35.41
-61.0	19.0	16.0	0.156304	88.18	35.41
-61.0	19.0	17.0	0.156304	88.17	35.43
-60.0	20.0	18.0	0.155022	88.13	35.41
-60.0	19.0	18.0	0.156304	88.1	35.41
-60.0	20.0	18.0	0.156304	88.07	35.41
-60.0	20.0	18.0	0.156304	88.02	35.41
-60.0	20.0	18.0	0.155022	88.0	35.43
-60.0	20.0	17.0	0.156304	87.98	35.45
-60.0	20.0	18.0	0.156304	87.98	35.43
-60.0	20.0	18.0	0.155022	87.98	35.43
-60.0	20.0	18.0	0.156304	87.98	35.45
-60.0	20.0	18.0	0.155022	88.0	35.43
-60.0	20.0	17.0	0.156304	88.02	35.43
-60.0	20.0	17.0	0.155022	88.03	35.43
-60.0	20.0	17.0	0.15374100000000002	88.05	35.45
-60.0	20.0	18.0	0.155022	88.05	35.45
-60.0	20.0	18.0	0.155022	88.07	35.43
-60.0	20.0	18.0	0.156304	88.08	35.45
-60.0	20.0	17.0	0.157585	88.08	35.45
-60.0	20.0	17.0	0.156304	88.08	35.41
-60.0	20.0	17.0	0.155022	88.08	35.45
-60.0	20.0	17.0	0.155022	88.08	35.45
-60.0	20.0	17.0	0.156304	88.08	35.43
-60.0	20.0	18.0	0.155022	88.08	35.43
-60.0	20.0	17.0	0.155022	88.07	35.45
-60.0	20.0	17.0	0.155022	88.08	35.45
-60.0	20.0	17.0	0.155022	88.22	35.45
-60.0	21.0	17.0	0.155022	88.32	35.47
-60.0	20.0	17.0	0.15374100000000002	88.43	35.45
-60.0	20.0	17.0	0.155022	88.53	35.47
-60.0	20.0	18.0	0.155022	88.65	35.45
-60.0	20.0	17.0	0.155022	88.75	35.47
-60.0	20.0	17.0	0.155022	88.85	35.45
-60.0	20.0	17.0	0.155022	88.92	35.45
-60.0	20.0	17.0	0.15374100000000002	88.93	35.47
-59.0	20.0	17.0	0.15374100000000002	88.93	35.47
-60.0	20.0	18.0	0.155022	88.93	35.45
-60.0	20.0	17.0	0.155022	88.93	35.47
-61.0	20.0	15.0	0.155022	88.95	35.45
-60.0	21.0	18.0	0.156304	88.97	35.45
-60.0	20.0	17.0	0.155022	88.98	35.47
-60.0	20.0	17.0	0.155022	89.02	35.47
-60.0	20.0	17.0	0.155022	89.05	35.49
-60.0	20.0	17.0	0.156304	89.08	35.49
-60.0	20.0	17.0	0.155022	89.12	35.49
-60.0	20.0	17.0	0.155022	89.15	35.49
-60.0	20.0	17.0	0.15374100000000002	89.18	35.45
-62.0	13.0	17.0	0.155022	89.2	35.49
-62.0	14.0	18.0	0.157585	89.2	35.5
-64.0	18.0	15.0	0.157585	89.2	35.47
-61.0	18.0	22.0	0.158866	89.2	35.47
-60.0	23.0	24.0	0.158866	89.22	35.49
-61.0	15.0	18.0	0.157585	89.23	35.47
-59.0	18.0	21.0	0.158866	89.25	35.5
-59.0	19.0	20.0	0.157585	89.27	35.47
-59.0	20.0	20.0	0.157585	89.3	35.47
-60.0	20.0	20.0	0.158866	89.32	35.49
-59.0	20.0	20.0	0.157585	89.33	35.47
-60.0	20.0	19.0	0.158866	89.35	35.49
-59.0	20.0	19.0	0.157585	89.38	35.47
-60.0	20.0	19.0	0.158866	89.42	35.49
-60.0	20.0	20.0	0.158866	89.42	35.47
-60.0	19.0	20.0	0.160147	89.4	35.49
-59.0	19.0	20.0	0.160147	89.38	35.47
-59.0	19.0	20.0	0.160147	89.37	35.49
-59.0	20.0	21.0	0.161428	89.37	35.5
-59.0	17.0	20.0	0.160147	89.33	35.49
-60.0	19.0	20.0	0.161428	89.3	35.47
-59.0	19.0	20.0	0.160147	89.27	35.49
-59.0	19.0	20.0	0.161428	89.23	35.49
-60.0	19.0	19.0	0.161428	89.22	35.5
-60.0	19.0	20.0	0.162709	89.22	35.49
-60.0	19.0	19.0	0.162709	89.2	35.5
-60.0	20.0	20.0	0.161428	89.2	35.49
-60.0	19.0	20.0	0.161428	89.18	35.47
-59.0	19.0	20.0	0.161428	89.18	35.49
-59.0	20.0	20.0	0.162709	89.17	35.5
-59.0	20.0	20.0	0.162709	89.15	35.5
-59.0	19.0	20.0	0.161428	89.13	35.5
-59.0	19.0	20.0	0.161428	89.12	35.5
-60.0	20.0	19.0	0.162709	89.12	35.5
-59.0	19.0	19.0	0.162709	89.1	35.49
-60.0	19.0	19.0	0.163991	89.1	35.5
-59.0	19.0	20.0	0.162709	89.1	35.5
-59.0	20.0	20.0	0.163991	89.12	35.49
-59.0	19.0	19.0	0.163991	89.12	35.49
-60.0	20.0	19.0	0.163991	89.13	35.5
-60.0	20.0	20.0	0.163991	89.15	35.5
-60.0	20.0	19.0	0.162709	89.17	35.5
-60.0	20.0	19.0	0.162709	89.18	35.49
-59.0	20.0	19.0	0.163991	89.18	35.49
-60.0	20.0	20.0	0.162709	89.18	35.49
-60.0	20.0	20.0	0.162709	89.18	35.5
-59.0	19.0	19.0	0.163991	89.18	35.49
-59.0	20.0	20.0	0.163991	89.2	35.5
-59.0	20.0	20.0	0.165272	89.2	35.5
-59.0	20.0	19.0	0.162709	89.22	35.49
-59.0	20.0	20.0	0.162709	89.22	35.47
-59.0	20.0	19.0	0.163991	89.22	35.5
-59.0	20.0	20.0	0.162709	89.22	35.5
-59.0	20.0	19.0	0.161428	89.22	35.5
-59.0	20.0	20.0	0.162709	89.2	35.49
-59.0	20.0	19.0	0.163991	89.18	35.5
-59.0	20.0	20.0	0.162709	89.17	35.5
-59.0	20.0	19.0	0.162709	89.15	35.49
-59.0	20.0	20.0	0.162709	89.13	35.5
-61.0	18.0	16.0	0.165272	89.13	35.49
-59.0	18.0	20.0	0.165272	89.15	35.53
-60.0	19.0	18.0	0.163991	89.17	35.5
-60.0	19.0	18.0	0.165272	89.18	35.5
-60.0	19.0	18.0	0.163991	89.2	35.5
-60.0	19.0	18.0	0.165272	89.2	35.47
-60.0	19.0	18.0	0.163991	89.2	35.53
-55.0	18.0	29.0	0.165272	89.2	35.5
-60.0	19.0	18.0	0.16783399999999998	89.22	35.5
-60.0	19.0	18.0	0.166553	89.22	35.5
-61.0	19.0	18.0	0.165272	89.22	35.53
-61.0	19.0	17.0	0.166553	89.22	35.5
-61.0	19.0	17.0	0.16783399999999998	89.22	35.49
-59.0	19.0	18.0	0.166553	89.22	35.49
-61.0	19.0	18.0	0.166553	89.2	35.5
-61.0	19.0	18.0	0.166553	89.2	35.53
